id,nombre,promedio,estado
1822,Natalia Luna Vicente,6.17,Aprobado
1823,Marcos Palma Nieto,5.6,Aprobado
1824,Elisa Villar Bermúdez,3.77,Suspenso
1825,Gema Marín Ortiz,5.32,Aprobado
1826,Mateo Herrera Estévez,5.53,Aprobado
1827,Victoria López Marín,4.85,Suspenso
1828,Óscar Medina López,4.17,Suspenso
1829,Mónica Esteban Calderón,5.4,Aprobado
1830,Sergio Mesa Segura,5.25,Aprobado
1831,Lucía Santos Pastor,3.7,Suspenso
1832,Eva Camacho Palma,2.45,Suspenso
1833,Andrea Espinosa Hernández,2.4,Suspenso
1834,Rafael Vallejo Durán,6.88,Aprobado
1835,Ricardo Sierra Lara,7.58,Aprobado
1836,Claudio Díaz Flores,6.72,Aprobado
1837,María Gallardo Osorio,7.13,Aprobado
1838,Raúl Álvarez Navarro,4.6,Suspenso
1839,Javier Segura Pérez de León,6.3,Aprobado
1840,Daniel Ortiz Cruz,4.18,Suspenso
1841,Óliver Cruz Ruiz,4.96,Suspenso
1842,Celeste Lara Jiménez,4.15,Suspenso
1843,Raúl Estévez Rico,5.4,Aprobado
1844,Adela Torres Delgado,3.33,Suspenso
1845,Victoria Peña Mesa,8.12,Aprobado
1846,Mireia Esteban Luna,3.66,Suspenso
1847,Natalia Bueno Cuadrado,5.1,Aprobado
1848,Luis Benítez Rico,4.87,Suspenso
1849,Elisa Sierra Vargas,7.5,Aprobado
1850,Andrea Pascual Cebrián,5.75,Aprobado
1851,Sofía Mora Villalba,5.3,Aprobado
1852,Rafael Pinto Ramos,5.13,Aprobado
1853,Ismael López Ortiz,3.3,Suspenso
1854,Lorena Cordero Rubio,4.08,Suspenso
1855,Adrián Domínguez Sánchez,6.05,Aprobado
1856,Victoria Ramos Ortiz,1.72,Suspenso
1857,Héctor Cordero Segura,5.66,Aprobado
1858,Álvaro Salas Ortiz,5.22,Aprobado
1859,Mario León Herrero,7.78,Aprobado
1860,Irene Nieto Jiménez,4.53,Suspenso
1861,Joaquín Soto Ramos,4.04,Suspenso
1862,Olga Rey Aguilar,6.5,Aprobado
1863,Ernesto Domínguez Soler,5.97,Aprobado
1864,Isabel Pascual Santos,6.65,Aprobado
1865,Álex Cruz Calderón,4.27,Suspenso
1866,Candela Peña Hernández,4.88,Suspenso
1867,Sergio Santos Peralta,6.74,Aprobado
1868,Rocío Gómez Correa,7.62,Aprobado
1869,Isabel Santos Esteban,5.1,Aprobado
1870,Sofía Lozano Segura,5.52,Aprobado
1871,Rafael Méndez Rico,4.45,Suspenso
1872,Mario Rosales Cuenca,6.12,Aprobado
1873,Claudio Hernández Villar,5.58,Aprobado
1874,Rosa Medina Campos,4.4,Suspenso
1875,Sara Durán Morales,2.98,Suspenso
1876,Celeste Gutiérrez Rubio,4.28,Suspenso
1877,Ismael Mora Navarro,3.45,Suspenso
1878,Guillermo Vicente Pacheco,2.88,Suspenso
1879,Tomás Benítez Quintero,2.23,Suspenso
1880,David Lara Pozo,6.6,Aprobado
1881,Álvaro Estévez Camacho,3.95,Suspenso
1882,Mario Ramos Hernández,5.97,Aprobado
1883,Rebeca Pizarro Carrillo,4.85,Suspenso
1884,Celeste Calvo Téllez,3.48,Suspenso
1885,Enrique Jiménez Osorio,1.7,Suspenso
1886,Benjamín Calvo Nieto,6.38,Aprobado
1887,Julia Segura Carrasco,5.58,Aprobado
1888,Sara Gallardo López,5.6,Aprobado
1889,Víctor Osorio Herrera,4.54,Suspenso
1890,Eva Santos López,5.08,Aprobado
1891,Olga Rey Alonso,4.23,Suspenso
1892,Victoria Montoya Cebrián,4.02,Suspenso
1893,Lucas Gallardo Medina,5.7,Aprobado
1894,Rosa Villar Suárez,5.5,Aprobado
1895,Jorge Alcaraz Zamora,6.02,Aprobado
1896,Héctor Iglesias Reina,3.98,Suspenso
1897,Juan Garrido Alcaraz,5.74,Aprobado
1898,Ana Arias Villalba,3.95,Suspenso
1899,Esther Medina López,4.0,Suspenso
1900,Celeste Vega Reina,6.27,Aprobado
1901,Manuel Pérez Ramos,7.52,Aprobado
1902,Isabel Vicente Pacheco,4.45,Suspenso
1903,Blanca Prado Alonso,6.87,Aprobado
1904,Eva Cuenca Cordero,5.16,Aprobado
1905,Natalia Valverde Flores,3.78,Suspenso
1906,Adela Lozano Gil,4.47,Suspenso
1907,Alejandro Benítez Pacheco,6.03,Aprobado
1908,Noelia Montes Méndez,3.82,Suspenso
1909,Natalia Palacios Conde,4.07,Suspenso
1910,Verónica López Soler,4.86,Suspenso
1911,Esther Hernández Mora,4.88,Suspenso
1912,Lucía Aguilar Vargas,7.12,Aprobado
1913,Fabio Cordero Figueroa,4.58,Suspenso
1914,Rafael Benítez Conde,4.22,Suspenso
1915,Beatriz Pizarro Aranda,4.8,Suspenso
1916,Daniela Morales Prado,4.93,Suspenso
1917,Carmen Cordero Cordero,2.23,Suspenso
1918,Felipe Navalón Ramos,6.42,Aprobado
1919,Claudio Bueno Cruz,4.12,Suspenso
1920,Óscar Peña Vela,4.1,Suspenso
1921,Tomás Ramírez Del Valle,6.23,Aprobado
1922,Iván Vela Esteban,4.3,Suspenso
1923,Verónica Molina Mesa,4.96,Suspenso
1924,Nerea Lozano Pastor,4.85,Suspenso
1925,Álex Molina Rey,2.2,Suspenso
1926,Ismael Vela Gil,4.78,Suspenso
1927,Pilar Gallardo Serrano,6.88,Aprobado
1928,Iván Lara Bermúdez,4.9,Suspenso
1929,Blanca Gil Alcaraz,5.4,Aprobado
1930,Lucía Serrano Ferrer,4.03,Suspenso
1931,Samuel Ferrer Montes,4.28,Suspenso
1932,Manuel Segura Rivas,5.1,Aprobado
1933,Rosa Álvarez Martín,3.74,Suspenso
1934,Ismael Díaz Medina,4.3,Suspenso
1935,Juan Calvo Gómez,5.23,Aprobado
1936,Jorge Montes Álvarez,3.35,Suspenso
1937,Esther Osorio Rivas,4.24,Suspenso
1938,Fernando Nieto Palma,3.64,Suspenso
1939,Rosa Estévez Rubio,6.9,Aprobado
1940,Teresa Gómez Rivas,5.6,Aprobado
1941,Rebeca Vallejo Esteban,4.98,Suspenso
1942,Héctor Aranda Olivares,4.32,Suspenso
1943,Emilio Domínguez Cordero,6.35,Aprobado
1944,Lourdes Luna Villalba,4.2,Suspenso
1945,Fernando Espinosa Vega,6.63,Aprobado
1946,Nerea Salas Ruiz,5.42,Aprobado
1947,Francisco Soler Castaño,4.6,Suspenso
1948,Noelia Peña Arias,5.73,Aprobado
1949,Diego Reyes Palacios,7.27,Aprobado
1950,Rita Rey Medina,4.95,Suspenso
1951,Ricardo Estévez Mora,4.07,Suspenso
1952,Javier Montoya Fuentes,5.73,Aprobado
1953,Hugo Téllez Del Valle,4.28,Suspenso
1954,Alicia Bueno Sierra,6.0,Aprobado
1955,Elena Cuadrado Cruz,3.95,Suspenso
1956,Alba Vicente Aranda,6.53,Aprobado
1957,Kevin Sánchez Suárez,5.3,Aprobado
1958,Gabriela Romero Rico,6.58,Aprobado
1959,David Suárez Pacheco,5.88,Aprobado
1960,Sara Arroyo Sierra,4.0,Suspenso
1961,Samuel Hernández Arias,4.02,Suspenso
1962,Alicia Suárez Bueno,4.92,Suspenso
1963,Olga Torres Luna,5.7,Aprobado
1964,Clara Pardo Alemán,5.0,Aprobado
1965,Daniela Domínguez López,6.05,Aprobado
1966,Lorena Alemán Mesa,6.5,Aprobado
1967,Enrique Blanco Castaño,3.03,Suspenso
1968,Tomás Alonso Soler,2.87,Suspenso
1969,Nicolás Pacheco Figueroa,5.75,Aprobado
1970,Ricardo Castaño Montoya,1.28,Suspenso
1971,Nerea Navalón Lara,5.2,Aprobado
1972,Óliver Medina Cruz,3.5,Suspenso
1973,Elena Jiménez Garrido,6.23,Aprobado
1974,Alba Alonso Vallejo,4.67,Suspenso
1975,Hugo Nieto Sánchez,5.7,Aprobado
1976,Eva Herrera Iglesias,5.38,Aprobado
1977,Adrián Bermúdez Benítez,3.78,Suspenso
1978,Camila Espinosa Rico,6.63,Aprobado
1979,Enrique Estévez Nieto,4.85,Suspenso
1980,Rocío Iglesias Román,5.12,Aprobado
1981,Nicolás Cordero Lara,3.97,Suspenso
1982,Lidia Osorio Benítez,5.33,Aprobado
1983,Sergio Navalón López,5.35,Aprobado
1984,Héctor Delgado Prado,4.27,Suspenso
1985,Isabel Jiménez Valdés,6.47,Aprobado
1986,Felipe Nieto Soto,5.73,Aprobado
1987,Gabriela Sierra Soler,5.12,Aprobado
1988,Eva Ramírez Jiménez,5.02,Aprobado
1989,Adela Moreno Ortiz,5.1,Aprobado
1990,Fabio Molina Bueno,3.93,Suspenso
1991,Sergio Montoya Marín,4.33,Suspenso
1992,Noemí Cuenca Villar,4.58,Suspenso
1993,Natalia Zamora Valverde,5.44,Aprobado
1994,Samuel Díaz Palma,5.1,Aprobado
1995,Manuel Méndez Segura,4.47,Suspenso
1996,Marta Molina Díaz,4.3,Suspenso
1997,Adela Vargas Reyes,4.02,Suspenso
1998,Cristina Pinto Rey,4.05,Suspenso
1999,Isabel Pascual Rivas,6.58,Aprobado
2000,Carmen Campos León,6.7,Aprobado
2001,Juan Cuadrado Herrero,5.72,Aprobado
2002,Hugo Peralta Benítez,4.38,Suspenso
2003,Elisa Navalón Peña,3.77,Suspenso
2004,Samuel Ramos Pascual,5.42,Aprobado
2005,Sergio Navalón Del Valle,6.37,Aprobado
2006,Jorge Medina Cordero,3.8,Suspenso
2007,Irene Gutiérrez Espinosa,7.46,Aprobado
2008,Héctor Luna Campos,4.83,Suspenso
2009,Victoria Soler Rubio,2.37,Suspenso
2010,Elisa Rubio Molina,5.68,Aprobado
2011,Álex Rivas Montes,4.48,Suspenso
2012,Álvaro Reyes Vicente,7.5,Aprobado
2013,Rosa López Delgado,5.57,Aprobado
2014,Rubén Figueroa Gil,2.67,Suspenso
2015,Gabriela Ramos Cuadrado,7.1,Aprobado
2016,Héctor Peralta Bermúdez,5.65,Aprobado
2017,Álvaro Pozo Campos,4.87,Suspenso
2018,Marta Esteban Durán,4.48,Suspenso
2019,Mateo Cruz Ruiz,5.83,Aprobado
2020,Paula Garrido Santos,3.55,Suspenso
2021,Daniela Correa Sierra,6.42,Aprobado
2022,Ángel Pardo Serrano,8.6,Aprobado
2023,Irene Romero Herrero,5.44,Aprobado
2024,Sofía Luna Zamora,4.05,Suspenso
2025,Ismael Flores Ortiz,4.62,Suspenso
2026,Cristina Domínguez Cuadrado,3.75,Suspenso
2027,Patricia Esteban Domínguez,4.32,Suspenso
2028,Andrea Cano Ruiz,1.62,Suspenso
2029,Raúl Cuadrado Cordero,7.23,Aprobado
2030,Victoria Romero Palacios,4.52,Suspenso
2031,Beatriz Serrano Correa,3.7,Suspenso
2032,Claudio Cano Domínguez,4.9,Suspenso
2033,Mateo Pizarro Domínguez,3.75,Suspenso
2034,Paula Rico Garrido,3.13,Suspenso
2035,Candela Pacheco Peralta,5.78,Aprobado
2036,Lourdes Correa Vicente,5.35,Aprobado
2037,Jorge Reyes Ferrer,5.35,Aprobado
2038,Luis Román Vargas,6.47,Aprobado
2039,Alberto Vicente Vela,4.6,Suspenso
2040,Laura Gil Cordero,5.53,Aprobado
2041,Teresa Peña Álvarez,5.52,Aprobado
2042,Ana Montes Molina,2.5,Suspenso
2043,Hugo Reina Villalba,4.45,Suspenso
2044,Rocío Valverde Carrasco,5.87,Aprobado
2045,Paula López Rey,3.33,Suspenso
2046,Marta Carrasco Gómez,2.43,Suspenso
2047,Patricia Quintero Blanco,3.73,Suspenso
2048,Mónica Pozo Alcaraz,6.2,Aprobado
2049,Victoria Ramos Garrido,4.83,Suspenso
2050,Sergio Serrano Montes,2.72,Suspenso
2051,Adrián Garrido Torres,4.65,Suspenso
2052,Juan Pacheco Salas,4.95,Suspenso
2053,Eva Álvarez Delgado,3.34,Suspenso
2054,Lorena Alemán Vela,5.93,Aprobado
2055,Emilio Pizarro Ramírez,4.42,Suspenso
2056,Óscar Cuadrado Cuenca,4.25,Suspenso
2057,Benjamín Mora Fuentes,6.03,Aprobado
2058,Alba Navalón Pinto,5.77,Aprobado
2059,Juan Pascual Pardo,5.84,Aprobado
2060,Ricardo Pérez de León Reyes,4.22,Suspenso
2061,Tomás Espinosa Molina,3.8,Suspenso
2062,Raquel Lozano Del Valle,2.93,Suspenso
2063,Ágata Santos Campos,4.4,Suspenso
2064,Rocío Cebrián Aranda,3.57,Suspenso
2065,Diego Morales Aranda,4.35,Suspenso
2066,Adrián Hernández Durán,4.87,Suspenso
2067,Víctor Gallardo Vega,5.0,Aprobado
2068,Valeria Morales Durán,5.75,Aprobado
2069,Yolanda Santos Gil,5.25,Aprobado
2070,Andrés Reyes Flores,3.77,Suspenso
2071,Óliver Vela Cano,5.67,Aprobado
2072,Mireia Pascual Blanco,3.84,Suspenso
2073,Diego Sierra Ruiz,5.58,Aprobado
2074,David Durán Zamora,3.2,Suspenso
2075,Guillermo Rivas Cuenca,4.97,Suspenso
2076,Álvaro Miranda Cebrián,5.9,Aprobado
2077,Celeste Pinto Mora,5.25,Aprobado
2078,Ignacio Ortiz Quintero,4.07,Suspenso
2079,Lidia Herrera Alonso,5.28,Aprobado
2080,Eva Peña Mesa,6.18,Aprobado
2081,Carmen Aguilar López,6.2,Aprobado
2082,Raúl Pastor Zamora,5.95,Aprobado
2083,Rubén Jiménez Villar,6.8,Aprobado
2084,Sara Sierra Caballero,2.63,Suspenso
2085,Carlos Vela Vallejo,5.35,Aprobado
2086,Lucía Suárez Figueroa,3.5,Suspenso
2087,Yolanda Arias Espinosa,3.1,Suspenso
2088,Fabio Figueroa Morales,3.87,Suspenso
2089,César Ramos Palma,4.8,Suspenso
2090,Óliver Hernández Camacho,7.1,Aprobado
2091,Tomás Pérez Aguilar,6.43,Aprobado
2092,Lorena Román Miranda,3.6,Suspenso
2093,Juan Campos Cordero,6.5,Aprobado
2094,Laura Cuadrado Ramos,3.07,Suspenso
2095,Javier Olivares Vicente,3.22,Suspenso
2096,Judit Ortiz Villalba,7.03,Aprobado
2097,Enrique Benítez León,6.22,Aprobado
2098,Clara Ferrer Peña,2.16,Suspenso
2099,Valeria Villalba Rosales,3.17,Suspenso
2100,Marcos Calvo Lozano,4.94,Suspenso
2101,Lucía Morales Mesa,7.53,Aprobado
2102,Fernando Prado Román,7.06,Aprobado
2103,Álvaro Calderón Ramírez,4.6,Suspenso
2104,Irene Navarro Palacios,5.83,Aprobado
2105,Manuel Aguilar Luna,4.63,Suspenso
2106,Ismael Caballero Villar,6.54,Aprobado
2107,Silvia Carrasco Pascual,2.82,Suspenso
2108,Ignacio Cano Gutiérrez,4.73,Suspenso
2109,Santiago Soto Arias,3.97,Suspenso
2110,Santiago Román Alemán,5.12,Aprobado
2111,Patricia Gallardo Soto,3.42,Suspenso
2112,Alba Cuenca Díaz,5.97,Aprobado
2113,Sofía Zamora Iglesias,7.22,Aprobado
2114,Adrián Mesa Olivares,3.95,Suspenso
2115,Sara Carrillo Rubio,4.75,Suspenso
2116,María Bravo Figueroa,6.72,Aprobado
2117,Alba Mora Carrasco,7.2,Aprobado
2118,Mario Morales Valverde,5.46,Aprobado
2119,Nuria Miranda Rubio,4.95,Suspenso
2120,Alba Alemán Jiménez,5.66,Aprobado
2121,Benjamín Pacheco Domínguez,4.98,Suspenso
2122,Teresa Miranda Correa,6.93,Aprobado
2123,Javier Villar Pascual,5.73,Aprobado
2124,Enrique López Molina,5.23,Aprobado
2125,Sofía Castaño Calderón,4.82,Suspenso
2126,Guillermo Pérez Cebrián,4.97,Suspenso
2127,Lucas Morales Durán,4.42,Suspenso
2128,Rebeca Alemán Segura,4.37,Suspenso
2129,Mario Conde Sierra,6.34,Aprobado
2130,Beatriz Aranda Gallardo,5.64,Aprobado
2131,Adela Navarro Mora,3.94,Suspenso
2132,Esther Reyes Salas,1.53,Suspenso
2133,Sofía Cuadrado Peña,6.2,Aprobado
2134,Elena Lara Herrero,4.7,Suspenso
2135,Ignacio Díaz Ramírez,3.0,Suspenso
2136,Mateo Ortiz Alonso,5.96,Aprobado
2137,Judit Soto Ramírez,5.06,Aprobado
2138,Ana Vela Bueno,7.63,Aprobado
2139,Mario Durán Méndez,4.95,Suspenso
2140,Mario Carrillo Valverde,6.22,Aprobado
2141,Santiago Miranda Calvo,7.42,Aprobado
2142,Rebeca Herrero Vargas,6.26,Aprobado
2143,Luis Figueroa Domínguez,5.15,Aprobado
2144,Marta Cordero Morales,6.77,Aprobado
2145,Beatriz Palacios Pascual,6.56,Aprobado
2146,Nuria Cuadrado Iglesias,3.36,Suspenso
2147,Pilar Arroyo Cuadrado,5.68,Aprobado
2148,Olga Valverde Vela,2.86,Suspenso
2149,Verónica Vallejo Martín,4.78,Suspenso
2150,Paula Jiménez Reyes,3.38,Suspenso
2151,Ágata Molina Ramos,4.52,Suspenso
2152,Claudio Carrasco Zamora,5.67,Aprobado
2153,Pablo Benítez Blanco,4.77,Suspenso
2154,Blanca Bueno Caballero,2.9,Suspenso
2155,Yolanda Campos Flores,4.62,Suspenso
2156,Patricia Santos Rivas,5.37,Aprobado
2157,Javier Bermúdez Castaño,4.67,Suspenso
2158,Mateo Pinto Peralta,5.37,Aprobado
2159,Marta Figueroa Pozo,7.22,Aprobado
2160,Ismael Prado Arias,5.9,Aprobado
2161,Silvia Valverde Ramos,4.32,Suspenso
2162,Pilar Montes León,1.75,Suspenso
2163,Valeria López Rico,4.37,Suspenso
2164,César Herrero Romero,5.23,Aprobado
2165,Celeste Vega Esteban,3.72,Suspenso
2166,Pilar Nieto Alemán,4.13,Suspenso
2167,Fernando Soto Cordero,7.2,Aprobado
2168,Luis Miranda Serrano,4.54,Suspenso
2169,Juan Campos Caballero,4.33,Suspenso
2170,Gema Osorio Mora,8.03,Aprobado
2171,Lucía Pardo Carrasco,4.57,Suspenso
2172,Rocío Santos Morales,7.36,Aprobado
2173,Jorge Montes Navarro,5.55,Aprobado
2174,Rebeca Molina Peña,4.3,Suspenso
2175,Fabio Segura Aguilar,3.93,Suspenso
2176,Lidia Cebrián Luna,4.7,Suspenso
2177,Rocío Valdés Sierra,2.74,Suspenso
2178,Diego Arroyo Miranda,3.86,Suspenso
2179,Teresa Miranda Camacho,5.5,Aprobado
2180,Joaquín Castaño Sánchez,5.88,Aprobado
2181,Marcos Gallardo Prado,3.9,Suspenso
2182,Camila Montoya Romero,5.12,Aprobado
2183,Manuel López Alcaraz,2.9,Suspenso
2184,Cristina Navarro Sierra,3.68,Suspenso
2185,Daniela Téllez Peña,5.85,Aprobado
2186,Felipe Cruz Sierra,7.96,Aprobado
2187,Mateo Mesa Gallardo,3.63,Suspenso
2188,Lorena Pastor León,3.24,Suspenso
2189,Ricardo Pastor Carrasco,7.53,Aprobado
2190,Elisa Aranda León,2.6,Suspenso
2191,Fabio Pizarro Garrido,3.2,Suspenso
2192,Silvia Pinto Quintero,2.83,Suspenso
2193,Teresa Del Valle Gallardo,5.48,Aprobado
2194,Rafael Conde Lara,2.33,Suspenso
2195,Ricardo Estévez Navalón,5.36,Aprobado
2196,Óliver Vallejo Aguilar,5.17,Aprobado
2197,Hugo Romero Molina,6.32,Aprobado
2198,Javier Torres Méndez,5.0,Aprobado
2199,César Palacios Caballero,6.63,Aprobado
2200,Beatriz Gallardo Navarro,3.18,Suspenso
2201,María Alemán Castaño,5.88,Aprobado
2202,Nerea Navalón Vela,4.93,Suspenso
2203,Ágata Herrero Navalón,7.47,Aprobado
2204,Lourdes Herrero Caballero,3.9,Suspenso
2205,Santiago Miranda Alemán,4.03,Suspenso
2206,Nicolás Gil Mora,6.18,Aprobado
2207,Tomás Pardo Alcaraz,6.57,Aprobado
2208,Lorena Fuentes Torres,4.87,Suspenso
2209,Hugo Carrillo Blanco,6.3,Aprobado
2210,Tomás Palma Palacios,6.82,Aprobado
2211,Irene Segura Villar,6.47,Aprobado
2212,Benjamín López Ramos,5.12,Aprobado
2213,Teresa Román Martín,3.37,Suspenso
2214,Ernesto Pérez Pascual,5.72,Aprobado
2215,Eva Ruiz Iglesias,5.97,Aprobado
2216,Álvaro Vargas Suárez,3.73,Suspenso
2217,Ignacio Navalón Del Valle,5.62,Aprobado
2218,Fernando Herrero Mora,7.73,Aprobado
2219,Teresa Gallardo Flores,7.15,Aprobado
2220,Álex Vega Ortiz,6.42,Aprobado
2221,Carlos Villalba Bermúdez,4.08,Suspenso
2222,Olga Camacho Navarro,4.1,Suspenso
2223,Samuel Pacheco Pardo,3.8,Suspenso
2224,Lucía Herrero Estévez,4.8,Suspenso
2225,Adrián Alemán Osorio,6.85,Aprobado
2226,Benjamín Fuentes Cano,5.1,Aprobado
2227,Mateo Segura Palacios,5.62,Aprobado
2228,Nuria Camacho Molina,6.4,Aprobado
2229,César Medina Arias,5.17,Aprobado
2230,Fernando Cruz Delgado,3.75,Suspenso
2231,Hugo Medina Valdés,4.04,Suspenso
2232,Lourdes Reyes Santos,3.8,Suspenso
2233,Silvia Ortiz Pozo,7.3,Aprobado
2234,Yolanda Bravo Ramírez,4.26,Suspenso
2235,Alejandro Rosales Peralta,6.22,Aprobado
2236,Ana Rivas Palma,3.52,Suspenso
2237,Nicolás Esteban Mesa,2.9,Suspenso
2238,Ángel Flores Ramos,7.55,Aprobado
2239,Raquel Miranda Calvo,4.95,Suspenso
2240,Felipe Álvarez Soler,4.5,Suspenso
2241,Óliver Román Aranda,6.2,Aprobado
2242,Raúl Lozano Vega,3.74,Suspenso
2243,Nicolás Rico Arias,3.94,Suspenso
2244,Adela Cordero Ramos,3.77,Suspenso
2245,Fabio Rivas Correa,5.47,Aprobado
2246,Rebeca Valdés Montes,5.1,Aprobado
2247,Marcos Rey López,6.52,Aprobado
2248,Ernesto Molina Soler,3.42,Suspenso
2249,Juan Pardo Rubio,8.43,Aprobado
2250,Camila Mora Vega,4.5,Suspenso
2251,Judit Vallejo Cordero,6.55,Aprobado
2252,Rebeca Estévez Prado,3.76,Suspenso
2253,María Sierra Pozo,4.5,Suspenso
2254,Eva Ortiz Bermúdez,5.22,Aprobado
2255,Nicolás Luna Hernández,4.46,Suspenso
2256,Mireia Durán Gómez,6.02,Aprobado
2257,Óliver Torres Marín,6.37,Aprobado
2258,Adela Del Valle Bueno,4.55,Suspenso
2259,Álvaro Cordero Durán,5.8,Aprobado
2260,Clara Correa Del Valle,6.97,Aprobado
2261,Clara Valverde Arias,4.6,Suspenso
2262,Adrián Rey Peña,2.35,Suspenso
2263,Candela Caballero Martín,4.07,Suspenso
2264,Mónica Villalba Cordero,6.58,Aprobado
2265,Alejandro Arroyo Gil,7.03,Aprobado
2266,Silvia Caballero Moreno,4.85,Suspenso
2267,Beatriz Aranda Sánchez,2.77,Suspenso
2268,Kevin Caballero Estévez,7.42,Aprobado
2269,Mateo Mora Salas,4.34,Suspenso
2270,Eva Durán Gil,5.56,Aprobado
2271,Clara Herrera Gutiérrez,6.53,Aprobado
2272,Luis Hernández Correa,5.53,Aprobado
2273,Adela Quintero Cuenca,4.84,Suspenso
2274,Paula Flores Herrero,6.74,Aprobado
2275,Ismael Cordero Mesa,4.53,Suspenso
2276,Santiago Carrasco Pizarro,5.1,Aprobado
2277,Natalia Cruz Navalón,4.67,Suspenso
2278,Héctor Cordero Benítez,3.74,Suspenso
2279,Pilar Herrero Iglesias,8.38,Aprobado
2280,Claudio Reina Durán,8.73,Aprobado
2281,Guillermo Peralta Alonso,4.84,Suspenso
2282,Lucía Pascual Sierra,4.82,Suspenso
2283,Gabriela Segura Alemán,4.2,Suspenso
2284,Laura Prado Gallardo,7.07,Aprobado
2285,Nuria Vela Aranda,3.78,Suspenso
2286,Teresa Cordero Rey,3.65,Suspenso
2287,Blanca Alemán Santos,5.57,Aprobado
2288,Clara Arias Reyes,3.23,Suspenso
2289,Víctor Miranda Cebrián,5.16,Aprobado
2290,Daniela Román Montes,4.75,Suspenso
2291,Celeste Valverde Soto,7.63,Aprobado
2292,Guillermo Campos López,3.62,Suspenso
2293,Noemí Espinosa Ramos,4.85,Suspenso
2294,María Bravo Correa,3.83,Suspenso
2295,Patricia Vela Pérez de León,5.03,Aprobado
2296,Nuria Román Ruiz,0.93,Suspenso
2297,Jorge Méndez Rubio,7.9,Aprobado
2298,Carmen Segura Valverde,5.12,Aprobado
2299,Olga Arias Calderón,6.08,Aprobado
2300,Blanca Pastor Estévez,3.88,Suspenso
2301,Ángel Cebrián Vargas,4.28,Suspenso
2302,Rebeca Soler Aranda,3.7,Suspenso
2303,Daniel Molina Salas,6.35,Aprobado
2304,Ágata Navarro Esteban,6.5,Aprobado
2305,Javier Pérez de León Fuentes,5.95,Aprobado
2306,Óliver Carrillo Quintero,4.76,Suspenso
2307,Eva Zamora Delgado,4.56,Suspenso
2308,Jorge Alcaraz Cordero,4.62,Suspenso
2309,Julia Pizarro Ortiz,5.33,Aprobado
2310,Rebeca Esteban Durán,6.03,Aprobado
2311,Natalia Rubio Lara,7.18,Aprobado
2312,Noelia Flores Bravo,4.4,Suspenso
2313,Francisco Pizarro Bueno,5.58,Aprobado
2314,Clara Caballero Pastor,5.46,Aprobado
2315,Irene Prado Pastor,2.6,Suspenso
2316,Óscar Santos Gil,6.83,Aprobado
2317,Luis Vela Arroyo,6.02,Aprobado
2318,Noelia Flores Téllez,3.93,Suspenso
2319,Olga Pizarro Peña,4.67,Suspenso
2320,Lucía León Calderón,2.93,Suspenso
2321,Blanca Del Valle Rosales,4.82,Suspenso
2322,Fabio Zamora Sierra,6.13,Aprobado
2323,Alejandro Ortiz Cordero,4.08,Suspenso
2324,Óscar Montoya Pastor,5.7,Aprobado
2325,Pilar Benítez Osorio,4.5,Suspenso
2326,María Álvarez Cebrián,5.06,Aprobado
2327,Lourdes Campos Navarro,4.98,Suspenso
2328,David Olivares Delgado,4.55,Suspenso
2329,Rafael Ortiz Figueroa,4.86,Suspenso
2330,Andrea Fuentes Mesa,7.63,Aprobado
2331,Julia Gómez Campos,6.98,Aprobado
2332,Rubén Prado Villalba,6.12,Aprobado
2333,Eva Téllez Pérez de León,4.1,Suspenso
2334,Lourdes Garrido Calderón,2.38,Suspenso
2335,Laura Cebrián Torres,4.76,Suspenso
2336,Kevin Suárez Gallardo,3.05,Suspenso
2337,Jorge López Arias,1.68,Suspenso
2338,Rita Camacho Rivas,5.1,Aprobado
2339,Jorge Bueno Pastor,6.77,Aprobado
2340,Victoria Camacho Garrido,4.34,Suspenso
2341,Olga Díaz Figueroa,4.22,Suspenso
2342,Laura Pérez de León Aguilar,5.55,Aprobado
2343,Óliver Campos Pastor,6.7,Aprobado
2344,Manuel Espinosa Garrido,4.35,Suspenso
2345,Emilio Campos Caballero,7.7,Aprobado
2346,Hugo Molina Cordero,4.4,Suspenso
2347,Héctor Cruz Martín,4.47,Suspenso
2348,Gema Rosales Molina,6.5,Aprobado
2349,Alba Rico Cordero,4.53,Suspenso
2350,Ágata Caballero Bermúdez,5.03,Aprobado
2351,Daniela Molina Rivas,3.23,Suspenso
2352,Adela Montoya Lozano,3.83,Suspenso
2353,Rita Mesa Vela,3.96,Suspenso
2354,Raquel Medina Cordero,1.93,Suspenso
2355,Nuria Martín Reina,4.8,Suspenso
2356,Alberto Marín Peralta,4.02,Suspenso
2357,Ana Alonso Pérez,5.1,Aprobado
2358,Marcos Villalba Medina,5.7,Aprobado
2359,Claudio Calderón Villalba,6.42,Aprobado
2360,Adela Díaz Camacho,2.4,Suspenso
2361,Noemí Vela Villar,6.08,Aprobado
2362,Raúl Durán Ramos,4.28,Suspenso
2363,Ángel Moreno Rico,4.58,Suspenso
2364,Carmen Pastor Campos,5.22,Aprobado
2365,Sofía Durán Herrero,6.12,Aprobado
2366,Sofía Peña Cordero,3.83,Suspenso
2367,Fernando Moreno Román,5.13,Aprobado
2368,Silvia Castaño Blanco,3.93,Suspenso
2369,Irene Cordero Luna,4.9,Suspenso
